名称,国家,城市,累计发电量
	SUNGROW BIPV,中国,合肥,1.87(GWh)
	上海世博中国馆,中国,上海,361.28(MWh)
	上海世博主题馆,中国,上海,3.57(GWh)
	上海世博中心馆,中国,上海,1.86(GWh)
	Grinzano 2,Italian ,Turin,1.10(GWh)
	Grinzano 1,Italian ,Turin,1.15(GWh)
	宝钢130KW光伏示范电站,中国,上海,38.94(MWh)
	Baldwin Atkins,JAMAICA,Clarendon,13.20(MWh)
	Shanghai LinGang BIPV,中国,上海,4.43(GWh)
